Site,Site_name,Lat,Lon
003077,MOWLA BLUFF,-18.5914,123.6133
003078,CADJEBUT,-18.7267,125.9875
003079,SHELAMAR,-18.9897,121.7208
003080,CURTIN AERO,-17.5769,123.8297
003081,CURTIN,-17.5778,123.8222
003082,KIRBY GARDENS,-17.8672,122.3631
003083,BROOME BIRD OBSERVATORY,-17.9769,122.3431
003084,DERBY (MANNING RD),-17.3436,123.6781
003085,MOUNT JOWLAENGA,-17.4311,123.0389
003086,WILLARE BRIDGE,-17.7278,123.6547
003087,TANJUNGPANDAN,-17.5606,122.1458
003088,LARRAWA,-18.8375,126.5247
003089,BROOME COMPARISON,-17.9492,122.2339
003090,DEBESA,-17.7981,124.0772
003091,BEEFWOOD PARK,-18.9894,125.8478
003092,SOUTH EAST WATERBANK,-17.8578,122.2725
003093,FITZROY CROSSING AERO,-18.1814,125.5619
003094,WINDJANA GORGE,-17.4211,124.9246
003095,PILLARA SPRINGS,-18.3192,125.7806
003097,BEVERLEY SPRINGS AIRSTRIP,-16.73,125.4386
003098,MOUNT HOUSE AIRSTRIP,-17.0535,125.712
003099,LEOPOLD DOWNS TBRG,-17.7535,125.3807
003100,LIVERINGA STATION,-17.9503,124.2653
003101,DAMPIER DOWNS AIRSTRIP,-18.5096,123.4676
003102,BROOME WHARF NTC AWS,-18.0019,122.2162
003103,MIDDLE LAGOON,-16.7742,122.5762
003104,BIDAN,-17.645,123.1678
003105,LAUREL DOWNS,-18.1105,125.3347
003106,ELLENDALE MINESITE,-17.5669,124.8411
003107,SILVER GULL CREEK,-16.1903,123.7025
003108,YAMPI SOUND (DEFENCE),-16.7671,123.981
003109,BROOME NTC AWS COMPARISON,-18.0008,122.2183
003111,BROOME AIRPORT (AUTO EVAP),-17.9475,122.2352
003112,BROOME WHARF NTC AWS,-18.0018,122.2166
004000,ABYDOS,-21.4167,118.9333
004001,WOODBROOK,-20.9,117.1167
004002,PORT HEDLAND POST OFFICE,-20.3139,118.5742
004003,BALFOUR DOWNS,-22.8,120.8625
004004,BAMBOO CREEK,-20.9264,120.2075
004005,BAMBOO SPRINGS,-22.0517,119.6325
004006,BONNEY DOWNS,-22.1828,119.935
004007,BOODARIE,-20.4,118.4667
004008,CARLINDIE,-20.6392,119.2431
004009,COONGAN STATION,-20.6833,119.6667
004010,COOYA POOYA,-21.0333,117.1333
004011,CORUNNA DOWNS,-21.4667,119.8333
004012,DE GREY,-20.1756,119.1908
004013,ETTRICK,-20.5167,119.6667
004014,EGINBAH,-20.85,119.7667
004015,HILLSIDE STATION,-21.7219,119.3989
004016,INDEE,-20.7867,118.5972
004017,STATION PEAK,-21.15,118.1
004018,LIMESTONE,-21.1833,119.8167
004019,MANDORA,-19.7419,120.8433
004020,MARBLE BAR COMPARISON,-21.1756,119.7497
004021,MOUNT EDGAR,-21.3122,120.0586
004022,MUCCAN,-20.6334,120.0863
004023,MULYIE,-20.4619,119.5189
004024,MUNDABULLANGANA,-20.5192,118.0603
004025,NIMINGARRA,-20.5,119.8
004026,NOREENA DOWNS,-22.2914,120.1761
004027,NULLAGINE,-21.8861,120.1103
004028,PARDOO STATION,-20.1078,119.5811
004029,COORAGOORA,-19.9604,120.2744
004030,PILGA,-21.4,119.4
004031,POINT SAMSON,-20.6267,117.1925
004032,PORT HEDLAND AIRPORT,-20.3725,118.6317
004033,PYRAMID STATION,-21.0561,117.4436
004034,RPF 734 MILE,-22.0167,121.4
004035,ROEBOURNE,-20.7767,117.1456
004036,STRELLEY,-20.4681,119.0556
004037,TALGA TALGA,-21.05,120.0
004038,WALLAREENYA,-20.7483,118.8172
004039,WARAMBIE,-20.9484,117.3732
004040,WARRALONG,-20.6472,119.5869
004041,WARRAWAGINE,-20.8508,120.6961
004042,WHIM CREEK,-20.8414,117.8353
004043,REDMONT,-21.9931,119.0131
004044,WIDJUP OUTCAMP,-19.5,121.3
004045,ABYDOS WOODSTOCK,-21.62,118.955
004046,YARRIE,-20.6739,120.2044
004047,TABBA TABBA,-20.8333,118.9
004048,YANDEEARRA,-21.2853,118.4042
004049,SPLIT ROCK,-21.6,119.6
004050,YALGOORA,-21.6,119.7
004051,BALLA BALLA,-20.6,117.8
004052,RPF 80 MILE,-20.5667,120.65
004053,CONDON,-20.0,119.4
004054,COSSACK,-20.6783,117.1892
004055,CROYDON,-21.1,117.8
004056,KANGAN,-21.1,118.5167
004057,LALLA ROOKH,-20.8833,119.15
004058,LOCHNAVAR,-20.7,121.0167
004059,MALLINA,-20.8822,118.0308
004060,MIDDLE CREEK,-21.8,120.3
004061,MOUNT SATIRIST,-21.1,117.9833
004062,MYADEE,-20.1,119.75
004063,POONDAWINDIE,-22.2,120.2
004064,POONDINIA,-20.45,118.8
004065,RPF 672 MILE,-22.7,121.1
004066,RPF 798 MILE,-21.2,121.2
004067,SHAW RIVER,-20.55,119.3
004068,WALLAL DOWNS,-19.7789,120.6417
004069,WARRAWOONA,-21.3,119.8
004070,COONGAN HOTEL,-20.9,119.7
004071,PYRAMID 1,-21.05,117.45
004072,ROSEMARY ISLAND,-20.4833,116.5333
004073,NICOL PADDOCK,-20.9,116.9167
004074,GOLDSWORTHY,-20.3422,119.5206
004075,HARDING RIVER 1,-21.1389,117.085
004076,HARDING RIVER 2,-21.175,117.2208
004077,BARRAMINE,-20.7167,120.85
004078,COONGAN 2,-20.7,119.35
004079,YANDEE,-21.3625,118.8783
004080,CALLAWA,-20.635,120.5
004081,CORUNNA DOWNS AIRSTRIP,-21.4333,119.7833
004082,CAPE LAMBERT,-20.615,117.1633
004083,KARRATHA AERO,-20.7097,116.7742
004084,SHAY GAP,-20.4958,120.1672
004085,TAMBOURAH,-21.75,119.1833
004086,SHERLOCK,-20.8956,117.6447
004087,HARDING RIVER 3,-21.2333,117.05
004088,NORTH POLE,-21.1467,119.4333
004089,WICKHAM,-20.6744,117.1428
004090,ROEBOURNE AERO,-20.7594,117.1583
004091,KING BAY SUPPLY BASE,-20.5978,116.7764
004092,HARDING DAM,-20.9786,117.0953
004093,STRELLEY PUMPING STATION,-20.3292,119.1878
004094,NIMINGARRA MINE,-20.4119,120.0103
004095,LEGENDRE ISLAND,-20.3583,116.8431
004096,MOUNT DIVIDE,-22.4272,120.8578
004097,DAMPIER PORT,-20.6175,116.7517
004098,DE GREY BOREFIELD,-20.2906,119.28
004099,KARRATHA TOWN,-20.7381,116.8489
004100,BEDOUT ISLAND,-19.5894,119.1
004101,R 1 BOREHOLE,-20.3167,119.3333
004102,MEENTHEENA,-21.2669,120.4544
004103,NIFTY COPPER MINE,-21.6525,121.5592
004104,PORT HEDLAND MILOS AWS COMPARISON,-20.3736,118.6297
004105,NULLAGINE NORTH,-21.8603,120.1592
004106,MARBLE BAR,-21.1756,119.7497
004109,PORT HEDLAND AIRPORT (AUTO EVAP),-20.3725,118.6317
005000,BOOLALOO,-22.5833,115.85
005001,COOLAWANYAH,-21.8047,117.8056
005002,DUCK CREEK,-22.515,116.5825
005003,ETHEL CREEK,-22.8972,120.1733
005004,EXMOUTH GULF,-22.3761,114.1105
005005,HAMERSLEY,-22.2794,117.6775
005006,KOOLINE,-22.9119,116.2903
005007,LEARMONTH AIRPORT,-22.2406,114.0967
005008,MARDIE,-21.1906,115.9797
005009,MARILLANA,-22.6331,119.4081
005010,MARRILLA,-22.9742,114.4597
005011,MEILGA,-22.7,115.8
005012,MILLSTREAM,-21.5906,117.0656
005013,MINDEROO,-21.9969,115.0463
005014,MOUNT FLORANCE,-21.7869,117.8647
005015,MULGA DOWNS,-22.1039,118.4703
005016,ONSLOW,-21.6364,115.1117
005017,ONSLOW AIRPORT,-21.6688,115.1093
005018,PEEDAMULLAH,-21.85,115.6167
005019,WARRAMBOO,-21.6333,115.85
005020,NINGALOO,-22.6975,113.6744
005021,RANGE,-22.2667,115.4167
005022,RED HILL,-21.975,116.0653
005023,ROY HILL,-22.6217,119.9564
005024,VLAMINGH HEAD,-21.8067,114.1072
005025,WARRIE,-22.4,119.5333
005026,WITTENOOM,-22.2425,118.3358
005027,WITTENOOM GORGE,-22.3167,118.3167
005028,WYLOO,-22.6906,116.2328
005029,YALLEEN,-21.6767,116.3928
005030,YANREY,-22.5064,114.7944
005031,YARDIE CREEK,-21.8875,114.0092
005032,YARRALOOLA HOMESTEAD,-21.5703,115.8786
005033,KOORDARRIE,-22.3419,114.9319
005034,MOUNT STUART,-22.4558,116.0508
005035,TAMBREY,-21.6,117.6
005036,GLEN FLORRIE STATION,-22.9367,115.9825
005037,KANGIANGI,-21.7,117.45
005038,CHINGINARRA,-21.3667,115.85
005039,LEARMONTH ARTESIAN,-22.6,114.4
005040,BALMORAL,-21.1594,116.1197
005041,COORARA STATION,-22.6,116.1
005042,DEEPDALE 1,-21.7,116.1
005043,DIOMENOR,-21.9,115.2
005044,FORTESCUE,-21.0583,116.1111
005045,GIRALIA,-22.685,114.3673
005046,HARDY JUNCTION,-22.7,116.1
005047,KERDIADARY,-22.25,119.1
005048,NANUTARRA,-22.5403,115.4981
005049,TABLELAND,-21.6,117.6
005050,MOUNT ENID,-21.6,116.4
005051,EXMOUTH TOWN,-21.9303,114.126
005052,KARRATHA STATION,-20.8831,116.6725
005053,EAST INTERCOURSE ISLAND,-20.6553,116.6789
005054,DEVILS BROOK,-20.8667,116.45
005055,WITTENOOM AERO,-22.2275,118.345
005056,BLACK HILLS,-21.2333,117.05
005057,HARDING RIVER,-21.3417,117.0833
005058,BARROW ISLAND,-20.8206,115.3931
005059,MOUNT LIONEL AIRSTRIP,-22.6087,117.6313
005060,NAVY CHARLIE,-22.3333,114.05
005061,DAMPIER SALT,-20.7278,116.7483
005062,JAMINU OUTCAMP,-22.3167,115.1833
005063,MOUNT BROCKMAN,-22.3,117.2833
005064,SAND HILL,-22.7825,119.6172
005065,MONTE BELLO ISLANDS,-20.4167,115.55
005066,UAROO,-22.7814,115.3722
005067,CANE RIVER,-22.0894,115.6239
005068,BULLARA,-22.6811,114.0394
005069,PANNAWONICA,-21.6392,116.3308
005070,ROBE,-21.3567,115.8208
005071,PINDRAL OUTCAMP,-21.3444,115.9356
005072,TOM PRICE,-22.6967,117.7703
005073,HOOLEY,-21.8836,118.2217
005074,MARANDOO,-22.6344,118.1119
005075,NAVY ALPHA,-21.8222,114.1714
005076,TOM PRICE AERO,-22.745,117.6656
005077,EXMOUTH EMERGENCY SERVICE,-21.9325,114.1111
005078,URALA,-21.7666,114.8211
005079,THEVENARD ISLAND,-21.4625,115.0194
005080,CAPE RANGE,-22.1033,113.9997
005081,DAMPIER RADAR,-20.6544,116.6822
005082,ERAMURRA POOL,-21.0544,116.2575
005083,KARRATHA WATER RESOURCES,-20.7692,116.8603
005085,ROCKLEA,-22.8853,117.4464
005086,FORTESCUE ROAD HOUSE,-21.2947,116.1383
005087,MILLSTREAM CWS PUMPING STATION,-21.5833,117.05
005088,MULYERING,-21.2475,116.0733
005089,PACKSADDLE CAMP,-22.9003,118.7031
005090,MOUNT MINNIE,-21.9711,115.4324
005091,DAMPIER  H.I.,-20.6561,116.7233
005092,LEARMONTH MILOS AWS COMPARISON,-22.2367,114.0869
005093,AUSKI MUNJINA ROADHOUSE,-22.3767,118.6886
005094,BARROW ISLAND AIRPORT,-20.874,115.4066
005095,CHEELA PLAINS,-22.9367,116.9731
005096,POINT MURAT NAVY PIER,-21.8167,114.191
005097,LEARMONTH SOLAR OBSERVATORY,-22.2183,114.1031
005098,KARIJINI NORTH,-22.2999,118.4498
005101,KARRATHA RADAR,-20.9924,116.8758
005102,LEARMONTH AIRPORT (AUTO EVAP),-22.2406,114.0967
006000,BIDGEMIA,-25.0417,115.3092
006001,BILLABALONG,-27.4231,115.8347
006002,BINTHALYA,-24.685,114.8358
006003,BOOLATHANA,-24.6525,113.6936
006004,BOOLOGOORO,-24.3333,114.0242
006005,BRICKHOUSE,-24.8208,113.7853
006006,BULLARDOO,-27.855,115.6733
006007,TALISKER,-26.2739,115.2578
006008,CALLAGIDDY STATION,-25.0481,114.0294
006009,CARDABIA,-23.1044,113.8038
006010,CAREY DOWNS,-25.6114,115.4625
006011,CARNARVON AIRPORT,-24.8878,113.67
006012,CARRARANG,-26.4628,113.505
006013,COBURN STATION,-26.6972,114.3181
006014,COOKERABINGIE,-23.5,114.1
006015,COORALYA,-24.4453,114.0779
006016,CORDALIA,-23.3,114.7
006017,DAIRY CREEK,-25.2786,115.8633
006018,DIRK HARTOG ISLAND,-26.0333,113.2167
006019,DOORAWARRAH,-24.806,114.431
006020,EDAGGEE,-25.36,114.2292
006021,EUDAMULLAH,-24.4508,115.6072
006022,GASCOYNE JUNCTION,-25.0544,115.21
006023,GNARALOO,-23.8222,113.5256
006024,GOOMBARDIE,-24.6667,114.35
006025,HAMELIN POOL,-26.3994,114.1658
006026,HAMELIN STATION,-26.4278,114.1916
006027,JIMBA JIMBA,-25.0442,115.1331
006028,THE OVERLANDER,-26.4,114.4667
006029,LYNDON,-23.6361,115.2461
006030,LYONS RIVER,-24.6314,115.3383
006031,MANGAROON,-23.915,115.6183
006032,MARDATHUNA,-24.4733,114.5553
006033,MAROONAH,-23.4796,115.5478
006034,MARRON,-25.3656,114.3594
006035,MEADOW STATION,-26.7025,114.6183
006036,MEEDO,-25.6631,114.6261
006037,MERLINLEIGH,-24.3142,115.1892
006038,MIA MIA,-23.3817,114.4375
006039,MINILYA,-23.8497,113.9714
006040,MINNIE CREEK,-24.0306,115.6967
006041,MOOGOOREE,-24.0633,115.205
006042,MOUNT SANDIMAN,-24.4117,115.3958
006043,NEW FOREST,-27.37,115.6517
006044,DENHAM,-25.9265,113.5325
006045,TAMALA,-26.6969,113.7158
006046,TOWERA,-23.1747,115.1194
006047,TOWRANA,-25.405,115.2267
006048,TWIN PEAKS,-27.3853,115.9664
006049,WAIL,-27.1,115.5
006050,WANDAGEE,-23.7647,114.5539
006051,WANDINA,-27.9864,115.6306
006052,WILLIAMBURY,-23.8608,115.1475
006053,WINDERIE,-25.3021,115.1164
006054,WOODLEIGH,-26.0511,114.7542
006055,WOOLGORONG,-27.7456,115.8286
006056,WOORAMEL,-25.74,114.2847
006057,YALBALGO,-25.1883,114.68
006058,YALLALONG,-27.4278,115.5147
006059,YARINGA STATION,-25.9436,114.3222
006060,CARBLA STATION,-26.2011,114.2869
006061,MEERAGOOLIA,-24.9017,114.2164
006062,CARNARVON POST OFFICE,-24.8858,113.6565
006063,COOLCALALYA,-27.5167,115.05
006064,MOOGOOREE O.S.,-24.2167,115.3833
006065,PLEAIDES,-23.4,114.7
006066,WINNING,-23.1567,114.5403
006067,MIA MIA 2 SUB BORE,-23.5,114.0167
006068,WAHROONGA,-25.4906,114.3981
006069,MOUNT NARRYER,-26.5903,115.9267
006070,HILL SPRINGS,-24.3058,114.5003
006071,MUGGON,-26.6167,115.5467
006072,EMU CREEK STATION,-23.0314,115.0414
006073,BERNIER ISLAND,-24.8333,113.3
006074,MILLIE MILLIE,-24.8667,114.5833
006075,BOODALIA,-25.2,113.9
006076,BOOLAGOORDA,-26.3,114.25
006077,BOUNDARY STORE,-25.3,115.6
006078,CALLATHARRA,-25.8,115.1
006079,ELLA VALLA,-25.0881,114.3836
006080,NANGA,-26.2564,113.8064
006081,NILEMAH,-26.4,114.05
006082,POINT CHARLES,-24.5,113.5
006083,SHAWS TANK,-24.3,113.8
006084,WARROORA,-23.4836,113.7926
006085,YALOBIA,-24.2,114.1
006086,MINGENEW WELL,-25.2333,115.6333
006087,BRICKHOUSE WOOLSHED,-24.8167,113.8333
006088,COORALYA O.S.,-24.4333,114.2667
006089,CAPE FARQUHAR,-23.6333,113.6167
006090,MEEBERRIE,-26.96,115.9733
006091,MEARABUNDIE,-25.9667,115.9833
006092,BILLABONG ASA,-26.8156,114.6133
006093,MINILYA BRIDGE,-23.81,114.0083
006094,CAPE CUVIER,-24.2167,113.3833
006095,QUOBBA,-24.3967,113.4056
006096,DOORAWARRAH O.S.,-25.0167,114.2833
006097,USELESS LOOP,-26.1203,113.3975
006098,WEEDARRAH,-25.028,115.862
006099,MURCHISON,-26.8956,115.9567
006100,COOLCALALAYA,-27.525,115.0569
006101,YALARDY,-26.0983,115.2444
006102,STEEP POINT,-26.1764,113.2149
006103,MIDDALYA,-23.9064,114.7681
006104,MINNIE CREEK AIRSTRIP,-24.0297,115.6894
006105,SHARK BAY AIRPORT,-25.8925,113.5772
006106,MOOLOO DOWNS,-25.037,115.994
006107,FAR END PLANTATION,-24.8128,113.7925
006108,CAPE CUVIER WHARF,-24.2201,113.3975
006109,GNARALOO - 3 MILE CAMP,-23.8761,113.4972
006110,RED BLUFF,-24.0305,113.4509
006111,WINDERIE AIRSTRIP,-25.3097,115.145
006112,LYONS RIVER AIRSTRIP,-24.62,115.3347
006113,BULLARDOO TBRG,-27.8556,115.6716
006115,CARDABIA EAST,-23.1289,114.0506
007000,BARNONG,-28.6294,116.2814
007001,BEEBYN,-26.9683,117.9031
007002,BELELE,-26.3611,118.0283
007003,BERINGARRA,-26.0417,116.9528
007004,BIG BELL,-27.35,117.6667
007005,BOODANOO,-28.3,117.9
007006,BOOGARDIE,-28.0411,117.6703
007007,BOOLARDY,-26.9839,116.5353
007008,BRYAH,-25.5059,118.7983
007009,BULLARA,-27.4833,117.3
007010,BUNNAWARRA,-28.6058,116.5719
007011,BURNERBINMAH,-28.7839,117.3625
007012,BUTTAH,-26.1297,118.4853
007013,COGLA DOWNS NATTE,-27.25,118.3333
007014,COODARDY,-27.2528,117.6522
007015,COODARDY YENTON,-27.3,117.25
007016,COODINGNOW,-29.3667,117.7
007017,CUE,-27.425,117.8936
007018,CULLCULLI,-27.0392,118.365
007019,BULLOO DOWNS,-24.0019,119.5725
007020,ANNEAN,-26.8764,118.1731
007021,AUSTIN DOWNS,-27.3839,117.7453
007022,DAY DAWN,-27.4667,117.85
007023,DOOLGUNNA,-25.6864,119.2258
007024,EDAH,-28.2731,117.1544
007025,WANNA,-23.9214,116.5594
007026,FOUR CORNERS,-26.45,118.2
007027,GABYON,-28.2494,116.34
007028,WANNA,-24.0469,116.2181
007029,GLENBURGH,-25.4333,116.1167
007030,JUDAL STATION,-26.1142,117.5047
007031,HILLVIEW,-26.9033,118.8361
007032,ILLGIDDY,-27.6292,117.4867
007033,ILLGARARIE,-24.3444,119.5808
